,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Agirish,RU,61.9247,63.0231,41.86,80,67,1.9,broken clouds
80,Cape Town,ZA,-33.9258,18.4232,59.92,87,75,11.5,broken clouds
81,Avarua,CK,-21.2078,-159.775,82.45,83,20,9.22,few clouds
82,San Policarpo,PH,12.1791,125.5072,82.62,83,97,11.88,overcast clouds
83,Wilson,US,36.1501,-86.2833,58.55,79,0,4.61,clear sky
84,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,84,0,10.36,clear sky
85,Longyearbyen,SJ,78.2186,15.6401,3.04,55,75,10.36,broken clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,100,4.61,light snow
87,Severo-Kurilsk,RU,50.6789,156.125,32.94,87,83,22.97,broken clouds
88,Hamina,FI,60.5697,27.1979,27.68,81,78,7.27,broken clouds
89,Thompson,CA,55.7435,-97.8558,39.36,30,40,5.75,scattered clouds
90,Thinadhoo,MV,0.5333,72.9333,83.82,73,99,6.15,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,72.21,77,0,2.51,clear sky
92,Phon,TH,15.816,102.5998,96.08,41,12,6.35,few clouds
93,Sterlibashevo,RU,53.4376,55.2578,58.28,59,100,15.26,overcast clouds
94,Hithadhoo,MV,-0.6,73.0833,83.61,72,100,5.84,heavy intensity rain
95,Pokhara,NP,28.2333,83.9833,85.21,24,0,5.37,clear sky
96,Tarbes,FR,43.25,0.1667,54.07,94,100,3.44,overcast clouds
97,Touros,BR,-5.1989,-35.4608,77.76,86,49,9.89,scattered clouds
98,Menongue,AO,-14.6585,17.691,60.46,76,35,5.01,scattered clouds
99,Asau,RO,46.4333,26.4,49.95,100,100,2.95,light rain
100,Quelimane,MZ,-17.8786,36.8883,76.95,83,75,10.36,broken clouds
101,Dikson,RU,73.5069,80.5464,18.88,89,68,23.76,broken clouds
102,Upernavik,GL,72.7868,-56.1549,29.35,99,100,4.88,light snow
