City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Iralaya,HN,77.7,clear sky,15.0,-83.2333,Iglesia morava renovada
298,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
300,Mahajanga,MG,75.27,broken clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
303,Malakal,SS,84.96,broken clouds,9.5334,31.6605,Nile Palace Hotel
305,Bengkulu,ID,77.9,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
307,Salina,US,75.54,scattered clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
309,Tahoua,NE,86.54,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
310,Barpali,IN,82.9,clear sky,21.2,83.5833,GREEN HOUSE LODGE
313,Aneho,TG,80.42,broken clouds,6.2333,1.6,Hotel La Linette
316,Gewane,ET,77.4,broken clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
318,Shawnee,US,75.06,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
319,Namatanai,PG,85.78,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
320,Kutum,SD,77.65,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
322,Anloga,GH,80.19,broken clouds,5.7947,0.8973,Pin Drop Hotel
331,Tagusao,PH,80.82,overcast clouds,9.1924,117.8141,Green Villa beach resort
336,Touros,BR,77.59,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
341,Sampit,ID,78.01,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
344,Dingle,PH,81.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
349,Atambua,ID,77.02,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
350,Corn Island,NI,81.21,broken clouds,12.1694,-83.0418,Big Fish Guest House
352,Don Sak,TH,81.82,broken clouds,9.3168,99.6918,Sea Sun Moon Hostel
353,Axim,GH,77.54,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
357,Kavaratti,IN,84.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
358,Nyaunglebin,MM,83.37,overcast clouds,17.95,96.7333,Thi ha
367,Benguela,AO,75.2,light rain,-12.5763,13.4055,Hotel Praia Morena
371,Omboue,GA,77.92,overcast clouds,-1.5746,9.2618,Hotel Olako
372,Flinders,AU,78.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
375,Gorontalo,ID,81.21,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
379,Alenquer,BR,76.05,overcast clouds,-1.9417,-54.7383,Detinha Hotel
382,San Patricio,US,81.32,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
384,Waingapu,ID,79.14,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
385,Alta Floresta,BR,76.15,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
387,Jiazi,CN,79.45,scattered clouds,22.8779,116.067,Hotel Jin Hao
388,Fare,PF,81.52,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
391,Sao Felix Do Xingu,BR,75.97,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
393,Muisne,EC,76.95,overcast clouds,0.6,-80.0333,Quinta Samay
394,Pontes E Lacerda,BR,75.31,few clouds,-15.2261,-59.3353,Hotel Bressan
397,Dhidhdhoo,MV,84.24,few clouds,6.8833,73.1,Dhidhoo beach
406,North Platte,US,82.29,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
411,Alice Springs,AU,83.75,few clouds,-23.7,133.8833,Desert Palms Alice Springs
414,Pahrump,US,79.84,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
416,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
422,Tautira,PF,80.64,light rain,-17.7333,-149.15,Pension Oaoa
423,Coahuayana,MX,84.43,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
424,Mangrol,IN,81.79,clear sky,21.1167,70.1167,Hotel The Royal Honours
426,Bosaso,SO,84.52,scattered clouds,11.2842,49.1816,Red Sea Hotel
427,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
429,Biak,ID,78.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
430,Biratnagar,NP,79.03,clear sky,26.4831,87.2834,HOTEL SHUVA
441,Bontang,ID,78.89,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
444,Mackay,AU,76.73,light rain,-21.15,149.2,International Lodge Motel
445,Pimenta Bueno,BR,75.67,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
448,Chicxulub,MX,83.05,broken clouds,21.1333,-89.5167,Las Palomas Merida
455,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
456,La Union,PE,76.05,overcast clouds,-5.4,-80.75,Los Portales
458,Eyl,SO,81.59,clear sky,7.9803,49.8164,Amiin Hotel
461,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
462,Gwadar,PK,83.86,clear sky,25.1216,62.3254,Sadaf Resort
463,Coro,VE,78.12,overcast clouds,11.4045,-69.6734,Federal
466,Am Timan,TD,83.34,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
467,Guiratinga,BR,77.02,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
470,Tual,ID,85.12,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
473,Moranbah,AU,75.52,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
478,Belem De Sao Francisco,BR,75.9,overcast clouds,-8.7539,-38.9658,Village Hotel
483,Conceicao Do Araguaia,BR,76.82,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
